Respondent,"1.1. Talked with City staff at a booth, event, festival, or at my door",1.2. Signed a petition,1.3. Participated in a grassroots protest or demonstration,1.4. Participated in Participatory Budgeting (Where residents identify ideas and vote on community projects),1.5. Participated in a City-led focus group,"1.6. Completed a City survey either online, by telephone, or in-person",1.7. Served on a City Council advisory committee,1.8. Made a written or verbal presentation to a City committee,1.9. Attended an open house,1.10. Called or emailed City staff directly,1.11. Watched a City Council or a committee meeting in-person or online,1.12. Helped plan an engagement activity with the City,1.13. Read and/or responded to social media posts by the City,"1.14. Received training, funding, or support to participate in a City-run community leadership program",1.15. Participated in an in-person or online consultation,1.16. Helped to design a space such as a community centre or the way a street is laid out,1.17. Submitted a compliment or complaint to the City through 311,1.18. Submitted feedback through the City's website,1.19. Called or emailed the Mayor or a City Councillor,1.20. This survey is the first time I am participating or getting involved with the City,3.1. The City considers my ideas,3.2. The City makes it clear where I can and cannot influence decisions,"3.3. The City communicates progress on projects, policy change or changes to services regularly",3.4. The City often uses technical or complex language that can be difficult to understand,3.5. I see people participating who have similar experiences or look like me,3.6. Some participants have less influence than others on decisions,"3.7. My community's strengths, abilities and ideas contribute to the solution",3.8. I understand the City<92>s reasoning for why a decision was made,"3.9. The City's engagement activities are relevant to me, my family and/or my community",3.10. The City creates spaces that are free of unwelcoming behaviour and offensive language,"7.1. I don't have regular internet access or data, which makes joining meetings harder","7.2. It is easier for people to say offensive things in virtual meetings (e.g. racist, sexist, homophobic, transphobic, and other oppressive language)",7.3. Virtual meetings are more convenient as I can join from anywhere,7.4. It is easy to connect with City staff during and/or after an virtual meeting to discuss my ideas or concerns,7.5. Logging into virtual activities is easy and I know where to get technical help,7.6. I have enough time to talk about the topic at virtual meetings,7.7. I can get to know other community members,7.8. I feel safe in a virtual environment,7.9. The software the City uses is easy to use,"7.10. The City should offer more hybrid meetings, where I can have options to attend meetings virtually or in-person"
548,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,Agree,Disagree,Agree,Disagree,Neither agree nor disagree,Strongly disagree,Strongly agree,Strongly disagree,Disagree,Strongly agree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Disagree,Strongly Disagree,Neither Agree nor Disagree,Strongly Disagree,Neither Agree nor Disagree,Strongly Disagree
549,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,Agree,Agree,Agree,Disagree,NA,NA,Agree,Agree,NA,Agree,Strongly Disagree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,NA,Disagree
550,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,Agree,Neither agree nor disagree,Agree,Disagree,Neither agree nor disagree,Strongly agree,Agree,Agree,Strongly agree,Strongly agree,Disagree,Disagree,Neither Agree nor Disagree,Disagree,Strongly Agree,Agree,Neither Agree nor Disagree,Agree,Agree,Strongly Agree
551,0,1,1,0,0,1,0,0,1,1,0,0,0,0,1,0,1,0,1,0,Disagree,Neither agree nor disagree,Disagree,Disagree,Agree,Agree,Neither agree nor disagree,Disagree,Agree,Agree,Strongly Disagree,Disagree,Strongly Agree,Neither Agree nor Disagree,Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Agree,Agree,Agree
552,1,1,0,0,1,1,0,0,1,1,0,0,0,0,1,0,1,0,1,0,Agree,Agree,Agree,Disagree,Neither agree nor disagree,Agree,Agree,Agree,Strongly agree,Agree,Strongly Disagree,Disagree,Agree,Agree,Neither Agree nor Disagree,Agree,Neither Agree nor Disagree,Agree,Agree,Agree
553,0,1,0,0,0,0,0,1,0,1,1,0,0,0,1,0,1,0,1,0,Disagree,Disagree,Disagree,Agree,Agree,Agree,Strongly agree,Strongly disagree,Strongly agree,Agree,Strongly Disagree,Disagree,Strongly Agree,Neither Agree nor Disagree,Strongly Disagree,Disagree,Agree,Agree,Strongly Disagree,Agree
554,1,0,1,0,0,1,0,1,0,1,1,0,0,0,0,0,1,1,0,0,Neither agree nor disagree,Neither agree nor disagree,Agree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree,Disagree,Disagree,Neither Agree nor Disagree,Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree
555,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,Neither agree nor disagree,Agree,Agree,Disagree,Neither agree nor disagree,Disagree,Agree,Agree,Agree,Agree,Disagree,Neither Agree nor Disagree,Strongly Agree,Disagree,Agree,Agree,Disagree,Agree,Agree,Agree
556,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Agree,Neither Agree nor Disagree,Disagree,Disagree,Agree,Neither Agree nor Disagree,Agree,Agree
557,1,0,0,0,1,1,0,0,1,1,0,0,0,0,1,0,1,0,1,0,Neither agree nor disagree,Neither agree nor disagree,Disagree,Disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Strongly Disagree,Neither Agree nor Disagree,Strongly Disagree,Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Disagree
558,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Strongly disagree,Neither agree nor disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,NA,Strongly disagree,NA,NA,Strongly Disagree,Strongly Agree,Strongly Agree,NA,NA,NA,NA,NA,NA,NA
559,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Agree,NA,Neither Agree nor Disagree,NA,NA,NA,NA,NA,NA,NA
560,1,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,Agree,Agree,Agree,Disagree,Neither agree nor disagree,Agree,Agree,Agree,Agree,Strongly agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Neither Agree nor Disagree,Strongly Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Strongly Agree,Agree,Agree
561,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,Agree,Neither agree nor disagree,Agree,Disagree,Agree,Agree,Neither agree nor disagree,Disagree,Agree,Strongly agree,Strongly Disagree,Disagree,Strongly Agree,Disagree,Agree,Agree,Disagree,Neither Agree nor Disagree,Agree,Neither Agree nor Disagree
563,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,1,0,Agree,Agree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Agree,Agree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Strongly Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree
566,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,Agree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Disagree,Agree,Agree,Agree,Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Neither Agree nor Disagree,Strongly Agree,Agree,Agree,Strongly Agree,Agree,Strongly Agree
567,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Strongly agree,Disagree,Disagree,Agree,Neither agree nor disagree,Agree,Agree,Agree,Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Agree,Neither Agree nor Disagree,Agree
568,1,1,0,0,0,1,0,0,0,1,1,0,1,0,0,0,1,0,1,0,Disagree,Disagree,Disagree,Neither agree nor disagree,Agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Agree,Strongly Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Strongly Agree,Strongly Agree,Agree
569,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Agree,Agree,Neither agree nor disagree,Agree,Agree,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
570,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,Strongly disagree,Neither agree nor disagree,Agree,Disagree,Agree,Strongly agree,Neither agree nor disagree,Strongly disagree,Strongly agree,Strongly disagree,Disagree,Disagree,Strongly Agree,Neither Agree nor Disagree,Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Agree,Neither Agree nor Disagree,Strongly Agree
571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Strongly disagree,NA,NA,Strongly agree,NA,Strongly agree,NA,NA,NA,NA,Strongly Disagree,Strongly Agree,Strongly Agree,NA,NA,NA,NA,NA,NA,NA
572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Strongly Disagree,NA,NA,NA,NA
573,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Agree,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Agree,Strongly Disagree,Agree,Strongly Agree,Neither Agree nor Disagree,Strongly Agree,Neither Agree nor Disagree,Agree,Agree,Agree,Agree
574,0,1,0,0,0,0,0,1,0,1,1,0,1,0,1,0,1,0,1,0,Strongly disagree,Disagree,Disagree,Agree,Agree,Disagree,Disagree,Agree,Agree,Agree,Disagree,Disagree,Agree,Agree,Agree,Disagree,Agree,Agree,Disagree,Strongly Agree
575,0,0,0,0,1,1,1,1,1,1,1,0,0,0,1,0,1,0,1,0,Disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Agree,Strongly agree,Strongly Disagree,Disagree,Neither Agree nor Disagree,Disagree,Disagree,Neither Agree nor Disagree,Strongly Disagree,Neither Agree nor Disagree,Strongly Disagree,Strongly Agree
576,1,0,1,0,0,1,0,1,0,1,1,0,1,0,1,0,1,1,1,0,Strongly disagree,Strongly disagree,Disagree,Strongly agree,Strongly disagree,Strongly disagree,Disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly Agree,Strongly Agree,Agree,Strongly Disagree,Neither Agree nor Disagree,Disagree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree
577,1,1,1,0,0,1,0,1,1,1,1,0,1,0,1,1,1,0,1,0,Disagree,Agree,Disagree,Strongly agree,Agree,Strongly agree,Agree,Disagree,Disagree,Disagree,Strongly Disagree,Agree,Agree,Disagree,Agree,Disagree,Disagree,Agree,Disagree,Agree
578,1,1,1,0,0,0,0,1,1,1,1,1,0,0,1,0,1,1,1,0,Neither agree nor disagree,Disagree,Disagree,Agree,Agree,Neither agree nor disagree,Strongly disagree,Strongly disagree,Strongly agree,Agree,Strongly Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Disagree,Disagree,Strongly Disagree,Strongly Disagree,Neither Agree nor Disagree,Disagree,Strongly Agree
579,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,1,1,1,0,Disagree,Strongly agree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Disagree,Disagree,Disagree,Strongly disagree,Strongly Disagree,Disagree,Neither Agree nor Disagree,Strongly Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Agree,Agree,Neither Agree nor Disagree,Agree
580,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,Neither agree nor disagree,Agree,Agree,Strongly disagree,Disagree,Strongly agree,Neither agree nor disagree,Disagree,Agree,Disagree,Strongly Disagree,Neither Agree nor Disagree,Strongly Agree,Disagree,Strongly Agree,Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Strongly Agree,Disagree
581,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,1,0,Disagree,Strongly agree,Strongly disagree,Strongly disagree,Neither agree nor disagree,Agree,Disagree,Disagree,Disagree,Strongly agree,Strongly Disagree,Neither Agree nor Disagree,Strongly Agree,Strongly Disagree,Agree,Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Agree
582,1,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,1,0,0,Agree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Agree,Disagree,Strongly agree,Agree,Disagree,Disagree,Strongly Disagree,Neither Agree nor Disagree,Disagree,Neither Agree nor Disagree,Disagree,Strongly Disagree,Neither Agree nor Disagree,Strongly Agree
583,1,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,Neither agree nor disagree,Disagree,Neither agree nor disagree,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Agree,Strongly disagree,Strongly Disagree,Neither Agree nor Disagree,Strongly Agree,Neither Agree nor Disagree,Strongly Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Strongly Agree,Agree,Strongly Disagree
584,1,1,1,0,1,1,0,0,1,1,0,0,1,0,1,0,1,1,1,0,Agree,Disagree,Disagree,Neither agree nor disagree,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree,Strongly Disagree,Neither Agree nor Disagree,Agree,Neither Agree nor Disagree,Agree,Strongly Disagree,Disagree,Agree,Agree,Strongly Agree
585,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,Strongly disagree,NA,NA,Agree,NA,Agree,NA,Neither agree nor disagree,Agree,NA,NA,NA,Strongly Agree,Neither Agree nor Disagree,Agree,NA,NA,Strongly Agree,NA,Strongly Agree
586,1,1,1,0,0,1,0,0,1,0,1,0,1,0,0,1,1,0,1,0,Neither agree nor disagree,Agree,Agree,Disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Agree,Agree,Neither agree nor disagree,Disagree,Disagree,Strongly Agree,Agree,Strongly Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Strongly Agree,Strongly Agree,Strongly Agree
587,0,1,1,1,1,1,0,0,1,0,1,1,0,0,0,0,0,0,1,0,Neither agree nor disagree,Disagree,Disagree,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Disagree,Disagree,Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Agree,Agree,Disagree,Agree
588,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Agree,Disagree,Disagree,Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Agree
589,0,1,1,0,0,1,0,1,1,1,1,1,1,0,1,1,1,1,1,0,Agree,Agree,Neither agree nor disagree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Disagree,Neither Agree nor Disagree,Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Disagree,Agree,Agree,Disagree,Agree
590,1,1,1,0,1,1,0,1,1,1,0,0,1,0,0,0,1,1,1,0,Disagree,Agree,Neither agree nor disagree,Agree,Disagree,Strongly agree,Strongly agree,Disagree,Strongly agree,Strongly disagree,Strongly Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree
591,1,1,0,0,0,1,0,1,0,1,1,1,0,0,0,1,1,0,1,0,Agree,Disagree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Disagree,Disagree,Strongly Agree,Disagree,Agree,Neither Agree nor Disagree,Strongly Disagree,Agree,Agree,Strongly Agree
592,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Neither agree nor disagree,Agree,Agree,Disagree,Agree,Neither agree nor disagree,Agree,Agree,Agree,Agree,Strongly Disagree,Neither Agree nor Disagree,Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree
594,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Disagree,Strongly disagree,Disagree,Strongly disagree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Disagree,Disagree,Disagree,Disagree,Strongly Agree,Agree,Disagree,Neither Agree nor Disagree,Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree
596,0,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,1,0,0,0,Disagree,Disagree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Disagree,Disagree,Neither agree nor disagree,Agree,Strongly Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Disagree,Strongly Disagree,Disagree,Strongly Disagree,Agree,Neither Agree nor Disagree,Agree
597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Neither Agree nor Disagree,Strongly Disagree,Agree,Disagree,Disagree,Neither Agree nor Disagree,Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Agree
598,1,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,Neither agree nor disagree,Strongly disagree,Agree,Disagree,Agree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree,Strongly Disagree,Strongly Disagree,Agree,Strongly Disagree,Neither Agree nor Disagree,Strongly Disagree,Strongly Disagree,Disagree,Agree,Neither Agree nor Disagree
599,1,1,1,0,0,1,0,0,0,1,1,0,1,0,1,1,0,0,1,0,Agree,Agree,Neither agree nor disagree,Strongly agree,Agree,Agree,Neither agree nor disagree,Agree,Agree,Disagree,Strongly Disagree,Disagree,Strongly Agree,Agree,Neither Agree nor Disagree,Agree,Agree,Agree,Neither Agree nor Disagree,Strongly Agree
600,0,1,1,0,0,1,0,1,0,1,1,0,0,0,1,0,1,0,1,0,Disagree,Disagree,Disagree,Agree,Agree,Strongly agree,Disagree,Strongly disagree,Neither agree nor disagree,Agree,Disagree,Disagree,Agree,Strongly Disagree,Neither Agree nor Disagree,Agree,Strongly Agree,Agree,Neither Agree nor Disagree,Agree
602,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Disagree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Agree,Disagree,Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree
603,0,1,0,0,0,0,0,1,0,1,1,0,0,0,1,0,1,0,1,0,Neither agree nor disagree,Neither agree nor disagree,Agree,Disagree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Agree,Strongly Agree,Neither Agree nor Disagree,Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Agree,Neither Agree nor Disagree,Agree,Agree,Agree
604,0,0,1,0,0,1,0,1,0,1,1,0,1,0,0,0,1,1,1,0,Agree,Agree,Agree,Neither agree nor disagree,Agree,Strongly agree,Agree,Disagree,Neither agree nor disagree,Strongly agree,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
605,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,Neither agree nor disagree,Neither agree nor disagree,Disagree,Neither agree nor disagree,NA,Agree,Neither agree nor disagree,Disagree,NA,NA,NA,Agree,Neither Agree nor Disagree,NA,NA,NA,NA,NA,NA,NA
606,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,Neither agree nor disagree,Disagree,Disagree,Strongly disagree,Agree,Agree,Disagree,Disagree,Agree,Disagree,Strongly Disagree,Disagree,Strongly Agree,Disagree,Strongly Agree,Disagree,Agree,Strongly Agree,Neither Agree nor Disagree,Strongly Agree
607,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Strongly Disagree,Strongly Disagree,Strongly Disagree,Neither Agree nor Disagree,Agree,Neither Agree nor Disagree,Disagree,Strongly Agree,Neither Agree nor Disagree,Agree
608,1,1,1,0,0,1,0,1,0,1,1,0,0,0,1,0,1,0,1,0,Strongly disagree,Neither agree nor disagree,Strongly disagree,Strongly agree,Neither agree nor disagree,Agree,Strongly disagree,Strongly disagree,Strongly agree,Neither agree nor disagree,Agree,Neither Agree nor Disagree,Agree,Disagree,Strongly Disagree,Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Strongly Disagree,Strongly Agree
609,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,1,0,Strongly disagree,Strongly disagree,Disagree,Neither agree nor disagree,NA,Agree,Disagree,Strongly disagree,Agree,NA,Strongly Disagree,Disagree,Agree,Strongly Disagree,Agree,Disagree,Neither Agree nor Disagree,Agree,Agree,Strongly Agree
610,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Neither agree nor disagree,Strongly disagree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Strongly disagree,Strongly disagree,Disagree,Neither agree nor disagree,Strongly Disagree,Neither Agree nor Disagree,Strongly Agree,Neither Agree nor Disagree,Strongly Agree,Disagree,Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Strongly Agree
611,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Neither agree nor disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Strongly Agree,Agree,Neither Agree nor Disagree,Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Agree,NA,Agree
612,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,1,0,1,0,Neither agree nor disagree,Disagree,Disagree,Neither agree nor disagree,Agree,Agree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Agree,Disagree,Neither Agree nor Disagree,Strongly Agree,Disagree,Strongly Disagree,Neither Agree nor Disagree,Disagree,Neither Agree nor Disagree,Disagree,Agree
613,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,Disagree,Disagree,Neither agree nor disagree,Agree,Strongly agree,Strongly agree,Agree,Neither agree nor disagree,Agree,Agree,Strongly Disagree,Disagree,Strongly Agree,Neither Agree nor Disagree,Strongly Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Strongly Agree,Neither Agree nor Disagree,Agree
614,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Disagree,Agree,Strongly disagree,Agree,Agree,Agree,Strongly disagree,Strongly disagree,Agree,Neither agree nor disagree,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
615,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0,Neither agree nor disagree,Disagree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Strongly disagree,Neither agree nor disagree,Agree,Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,NA,Strongly Agree
616,0,1,1,0,1,1,1,0,0,1,0,0,1,1,1,0,1,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Neither Agree nor Disagree,NA,Strongly Agree,Strongly Disagree,Neither Agree nor Disagree,Strongly Disagree,NA,NA,Strongly Agree,Strongly Agree
617,1,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0,Agree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Agree,Agree,Strongly Disagree,Neither Agree nor Disagree,Strongly Agree,Agree,Agree,Neither Agree nor Disagree,Disagree,Agree,Agree,Neither Agree nor Disagree
618,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Neither Agree nor Disagree,Neither Agree nor Disagree,Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree
619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Strongly disagree,Neither agree nor disagree,Agree,Disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Strongly Disagree,Neither Agree nor Disagree,Strongly Agree,Neither Agree nor Disagree,Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Agree,Neither Agree nor Disagree,Strongly Disagree
620,0,1,1,0,0,1,0,0,1,1,1,0,0,0,0,0,1,0,1,0,NA,NA,Agree,Disagree,NA,Agree,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
622,1,0,0,0,0,1,0,1,0,1,1,1,0,0,0,0,1,0,1,0,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Agree,Agree,Agree,Neither agree nor disagree,Strongly agree,Agree,Disagree,Neither Agree nor Disagree,Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Agree,Agree,Neither Agree nor Disagree,Agree
623,0,1,0,0,0,1,0,0,1,1,1,0,1,0,0,0,1,0,0,0,Neither agree nor disagree,Disagree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Disagree,Agree,Neither agree nor disagree,Agree,Agree,Strongly Disagree,Disagree,Strongly Agree,Neither Agree nor Disagree,Strongly Agree,Neither Agree nor Disagree,Disagree,Agree,Agree,Strongly Agree
624,0,1,1,0,0,1,0,0,1,1,0,0,0,0,1,0,1,0,1,0,Agree,Neither agree nor disagree,Agree,Disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Agree,Disagree,Neither Agree nor Disagree,Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree
625,1,1,1,1,0,1,0,1,0,1,1,1,1,0,1,0,1,1,1,0,Strongly disagree,Strongly disagree,Disagree,Agree,Neither agree nor disagree,Agree,Disagree,Strongly disagree,Strongly agree,Disagree,Neither Agree nor Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Agree,Strongly Disagree,Strongly Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Strongly Agree
